sample_id,input,target
5_2,"I also have a problem with MIX4 , and the photography camera module is still various ... [ dirt ] , Every one say how good photography is . After buying it , it is really [ the school season ] [ the school season ] [ the school season ] quit the pit after entering the pit .",MIX4:photography camera module:various:neg
5_3,I do n't take pictures 😂 Play games more .,notarget:none:none:none
5_4,Generally restarting [ Yun Bei ] has not been crashing .,notarget:none:none:none
5_5,"Mainly this sentence is more worried , mine is the problem on photo function .",notarget:none:none:none
5_6,boring .,notarget:none:none:none
5_7,"My Mi 6 is almost 5 years old , and mine not as bad as your IP8 [ Er Ha ] .",notarget:none:none:none
5_8,"Who knows that Xiaomi can go back more and more , 12 is not as good as 6 [ School Season][School Season][School Season ]",notarget:none:none:none
5_9,"I do n't know if it go back or not [ doge ] Anyway , people who smear casually are too many .",notarget:none:none:none
6_0,"Compare to Xiaomi 11 , which is better ?",notarget:none:none:none
6_1,"11 Never used it , anyway , in the Xiaomi mobile phone I used , the 12 now used is designed for ordinary users . Offline users can transfer easily . In contrast to the surrounding colleagues , the signal is very strong , the mobile phone size is the smallest , and the game is small ( the housekeeper 's equilibrium mode , the performance mode of the game assistant ) can give you some reference .","12:signal:very strong:pos, 12:mobile phone size:smallest:pos, 12:game:small:pos"
6_2,"Whatever they say , 8gen1 is hot or not . Anyway , I will buy red rice 12 at double 11 [ love you ]",notarget:none:none:none
6_3,[ black line ] .,notarget:none:none:none
6_4,"I 11Pro , often 59 frames [ Yun Bei ] .",notarget:none:none:none
6_5,The next time the system update will be lock[laughing ] .,notarget:none:none:none
6_6,"Half a catty , I have a 11 and now I always want to change to the Black Shark 4 , 870 is YYDS[doge ]",notarget:none:none:none
7_0,It seems that I have a problem with my aesthetics . I actually think that 10PRO is the best .,notarget:none:none:none
7_1,"I think it 's pretty from the color scheme . The disadvantage is that flash , and the photo is a bit compromised . There is a kind of gap that looks good when taking pictures , but is actually average .",notarget:none:none:none
7_2,"I really think the back looks very recognizable and pretty , and the flash is a little incongruous , but from the whole back panel , I think the 10pro is the best looking",10pro:whole back panel:best looking:pos
7_3,"Rice has said many times about symmetry and coordination . Not everyone is willing to spend more than 5,000 yuan to buy a very general back cover . Recognition is a must for me . Oneplus 's hardware is not well . The fast charging and taking pictures are just inferior to the Xiaomi iqoo . Offline sales are bad , and the geek system has been abandoned . In fact , it 's really a bit nondescript .","Oneplus:hardware:not well:neg, Xiaomi:fast charging:inferior to:pos, iqoo:fast charging:inferior to:pos, Oneplus:fast charging:inferior to:neg, Oneplus:taking pictures:inferior to:neg, Xiaomi:taking pictures:inferior to:pos, iqoo:taking pictures:inferior to:pos"
7_4,"Do n't you understand digital circle ? As long as it does not conform to their opinions , direct personal attack . Especially in the past two years , in their opinion , the flagships of major manufacturers are not worth buying . What is the mobile phone worth buying for them?It 's Redmi!what is the reason?Cheap [ DOGE ] The funny thing is that as long as the price of red rice is within the range they can accept [ laughs ]",notarget:none:none:none
7_5,"Come on+hate the country 's maggots , what ingredients?[Laughing haha ] [ Laughing haha ] [ Laughhaha ] .",notarget:none:none:none
7_6,"Since the other party sets up , you ca n't view the other 's homepage , That 's all ?",notarget:none:none:none
7_7,It seems that you should be at least 80 years old [ Yun Bei ] Only 80 - year - old designers have this aesthetic .,notarget:none:none:none
7_8,"On the contrary , the design of 10Pro is younger .",10Pro:design:younger:pos
7_9,What taste of OnePlus [ Yun Bei ] I do n't understand .,OnePlus:taste:don't understand:neg
8_0,"Well , what is the situation of P50 .",notarget:none:none:none
8_1,Xiaomi wine is good - looking and can be played .,notarget:none:none:none
8_2,"It 's good - looking , and it can be played . Other than the small battery , nothing else is wrong",notarget:none:none:none
8_3,"3300 can be used for a day , right ? [ doge ]",notarget:none:none:none
8_4,The only disadvantage is that there is no 5 G . Do n't Mi fans know why not 5 G ? Does Huawei want to use 4 G ?,notarget:none:none:none
8_5,"Um , then sell sky -high price .",notarget:none:none:none
9_0,Completely aligned with reno [ doge ] Even the same price .,notarget:none:none:none
9_1,"Hahahaha , I am considering whether it is Reno7 or Honor 60 now . Reno7 feels that the breathing light is very good , and then the process of the back cover is estimated to be excellent . I have touched my roommate 's reno6 , and it is really good . The four curved surfaces of Honor are too much to my heart . I went to the physical store and touched the four curved surfaces of the P40P , and it feels great ! I do n't care about cost -effectiveness , and I do n't play games . For daily use , these two phones ' performances are definitely enough .","Reno7:breathing light:very good:pos, Honor:four curved surfaces:too much to my heart:pos, P40P:feels:great:pos, P40P:cost -effectiveness:don't care about:other, Reno7:performances:definitely enough:pos"
9_2,"Reno7 straight screen feels better , and night shots , [ doge ]",Reno7:feels:better:pos
9_3,"When the time comes , I will go to the offline store to touch these two real phones . Is the photo of the reno7 better than that of the Honor ? Then I prefer to reno7 [ doge ]","reno7:photo:better:other, Honor:photo:better:other"
9_4,Is n't Xiaomi taking the initiative to compare with Huawei ?,notarget:none:none:none
9_5,OPPO first produced . . .,notarget:none:none:none
9_6,"Although I am more optimistic about the offline ability of the green factory , the curved screen may be better to sell offline . The green factory 's choice of direct screens is obviously a bit suspended .","green factory:offline ability:more optimistic about:pos, curved screen:sell:may be better:pos, green factory:direct screens:a bit suspended:other"
9_7,"There is an apple appearance , do n't worry about offline .",apple:appearance:don't worry about offline:pos
10_0,How is your 11u used ? I 'm still wondering if I should buy 11u [ tears ],11u used:used:How:other
10_1,"Do n't play in the summer , put it in the pocket and iron the thigh[Laughing CRY ] ( coordinates Guangdong ) .",notarget:none:none:none
10_2,"Do n't play , is it still hot?That is the effect of warm babies [ Yun Bei ] .",notarget:none:none:none
10_3,"11Pro , Guangdong does feel hot in the summer , of course , after playing .",notarget:none:none:none
10_4,"I have the same idea with you haha , and I want to have 11u .",notarget:none:none:none
10_5,I have successfully purchased [ awsl ],notarget:none:none:none
10_6,"Hahaha is so fast , are you satisfied with it ?",notarget:none:none:none
10_7,Buy 12 series .,notarget:none:none:none
10_8,"Because I want to buy a transition machine and wait for a better MIX series , and I know that MIX should be far inferior to 11u on the camera ( it is not ruled out that after several generations of MIX will improve the camera performance ) , if I buy a 12 , 12 does not seem to have 11u Good photo , but not a lot of memory ! But 12 only gives me the feeling of a small screen . I do prefer 11u for other parameters . The only thing is that 11u is generally said to be very hot , so I am very entangled [ tears ] .","MIX:camera:far inferior to:neg, 11u:camera:far inferior to:pos, MIX:camera:not ruled:other, 12:photo:not seem to have:neg, 11u:photo:Good:pos, 12:memory:but not:neg, 11u:other parameters:prefer:pos, 11u:hot:very:neg"
11_0,"Do n't be a frog in the bottom of a well . Hornor dares to sell more than 5,000 , let alone OVM [ yawn ]",notarget:none:none:none
11_1,"Honor Magic3 series is even stronger than the Mate40 series . Unfortunately , too bad the Kirin is gone .",notarget:none:none:none
11_2,"Stop talking , brag about taking pictures very well , but the results are bad [ yawn ]",notarget:none:none:none
11_3,Do n't you think mate40pro is bad ? [ eat melon ],notarget:none:none:none
11_4,He 's a Hornor fan himself,notarget:none:none:none
11_5,"Manufacturers ca n't do anything about the processor , but if they do it elsewhere , they can hit the high - end . The Snapdragon has not been useless in the past two years . Its ISP is still better than that of the Kirin . On the other hand , the image that Honor has blown for so long is actually poor in the final measurement [ not simple ]","Honor:image:poor:neg, Snapdragon:ISP:not been useless:pos, Snapdragon:ISP:better than:pos"
11_6,OV is really not as good as Hornor offline now .,notarget:none:none:none
11_7,"I 'm talking about product strength . You talk to me about sales . Honor has lost word of mouth from the v40 to the magic3 series . It all depends on the offline measuring machine x series and the digital series . Last year , the photo system of the magic3 series was not as good as Meizu [ slap in the face ]","magic3 series:photo:not as good as:neg, Meizu:photo:not as good as:pos"
12_0,"More narrow body and larger screen , can take into account both gaming and daily use [ Heart ] [ Heart ] [ Heart ] .",notarget:none:none:none
12_1,It 's almost the same as Xiaomi Mi 9 .,notarget:none:none:none
12_2,"Xiaomi 9 is 74.67 mm , and it is a straight screen . Xiaomi 12 is nearly 5 mm narrower than Xiaomi 9 .",notarget:none:none:none
12_3,[ Heart ] [ Heart ] [ Heart ] .,notarget:none:none:none
12_4,"Can Xiaomi 11Pro replace it with the old?It 's been used for half a year after I bought it , the heat is serious , and the hand feels too heavy . [ Smiling ] .","Xiaomi 11Pro:heat:serious:neg, Xiaomi 11Pro:hand feels:too heavy:neg"
12_5,Fat water comes to the front row [ warm ] .,notarget:none:none:none
12_6,Is n't this DXO 's reviewer fat water [ longing ] [ longing ] [ longing ] .,notarget:none:none:none
13_0,"Xiaomi has been hammered miserably , not to mention the price / performance ratio . Others have Samsung screen , micro cloud platform , ultrasonic fingerprint",notarget:none:none:none
13_1,"Samsung screen Xiaomi is not ? It ca n't take pictures , what else ?",notarget:none:none:none
13_2,"Stupid , Xiaomi 's screen is the domestic screen that you look down on .",Xiaomi:screen:look down on:neg
13_3,Only the minimum configuration is a domestic screen,notarget:none:none:none
13_4,"The micro cloud platform is useless , gn5 is not an upgrade of gn2 [ two ha][two ha][two ha ] . It can only be at the same level as 766 , let alone 707 .",notarget:none:none:none
13_5,"The actual performance of 707 is not good . [ Khan ] I went to Xiaomi House to see it , to be honest , the camera is average .","Xiaomi:camera:average:other, 707:actual performance:not good:neg"
13_6,"You ca n't just look at it , you have to rely on the comparison . The 12p 706 is almost the same as the 11u in terms of night scenes , only the resolution is a little worse .","12p:resolution:a little worse:neg, 11u:resolution:a little worse:pos, 12p:night scenes:almost the same as:pos, 11u:night scenes:almost the same as:pos"
13_7,"Micro PTZ is anti - shake technology , nothing more than ois sounds more advanced . The gn5 is Samsung 's 766 level , which is completely inferior to the 707 . Brother Zhan said that the gn5 is not even as good as the 766 , and there is only one ultrasonic advantage left . Is this called a overwhelm?[Allow sad ] is Xiaomi 12pro not Samsung e5 ? laugh to death [ Allow sad ]",notarget:none:none:none
13_8,"If I had n't just sold 11 , I would believe it . Would Xiaomi a new sensor a year optimized?why 10S 's HMX is beat by the cheaper NEO5 598 ? Is the 100 million pixel direction right?Essence",notarget:none:none:none
13_9,"Yes , yes , you are right [ like ] .",notarget:none:none:none
14_0,I hope k50 can take photos a little better [ School Season][School Season][School Season ],k50:take photos:a little better:neg
14_1,Taking photos is really important !,notarget:none:none:none
14_2,"No matter how good the camera parameters are , it is useless without technology [ doge ]",notarget:none:none:none
14_3,"I went to the store to try the 12 and 12pro , the 12 's photo is far worse than the pro 's","pro:photo:far worse than:pos, 12:photo:far worse than:neg"
14_4,I agree with the photo too ! The top - level configuration version of the camera can also be enhanced,notarget:none:none:none
14_5,"The light is dark at night , and it is inconvenient to scan the code when going out .",notarget:none:none:none
14_6,The telephoto scan code is even more fragrant .,notarget:none:none:none
14_7,"Do n't consider taking pictures using Redmi , Xiaomi is better [ DOGE ] .","Xiaomi:taking pictures:better:pos, Redmi:taking pictures:Don't consider:neg"
14_8,"[ Doge ] [ Doge ] [ Doge ] Yes , I do n't know if you have encountered it , my K40 game is always 460 [ Tears ] [ Tears ] [ Tears ] .",K40:game:always 460:neg
15_0,The Kirin 980 will fight for anoter two years .,notarget:none:none:none
15_1,"Honor V20 has been used for three years , and it is also this processor . It is not stuck . The most annoying thing is the running memory ! I ca n't open three softwares . I have to re - enter when I switch back . I ca n't open them all the time . I 'm so annoying . I want to save money to buy Apple","Honor V20:running memory:annoying:neg, Honor V20:processor:not stuck:pos"
15_2,"[ doge ] Banned a lot of Wisdom xx with the little black house , now you can save six or seven apps in the background , do n't kill the background anymore",notarget:none:none:none
15_3,"Why do you say a bunch of things I do n't understand , what is black house , and wisdom?You tell me how to operate , I am too uncomfortable .",notarget:none:none:none
15_4,V20 can also fight for three years [ DOGE ] .,notarget:none:none:none
15_5,I am V10 .,notarget:none:none:none
15_6,Xiaomi 's mobile phones are stuck now .,notarget:none:none:none
15_7,"Unless it is 13 , it is more and more stuck [ doge ]",notarget:none:none:none
16_0,"Why , is n't it good ?",notarget:none:none:none
16_1,"My family bought 6 Xiaomi mobile phones , and they all broke after about a year . What 's even more abhorrent is that a mobile phone broke down in less than a year , and it was hard to find a special maintenance point . It even said that I had dismantled it and asked me to pay 300 yuan for the maintenance fee . I took it back without repairing it , and it was only 30 yuan at a nearby store . So : Xiaomi phones are rubbish .",Xiaomi:maintenance point:hard:neg
16_2,"So it 's not as easy to use as my oppo . After using it for four years , except for the lack of memory , everything else is fine , and it wo n't be broken . I saw that my friend 's Xiaomi Mi 11 took good pictures , and I 'm a little excited .","oppo:memory:lack:neg, Mi 11:pictures:good:pos"
16_3,"Holding the Mi 9 for two and a half years , there is no problem except that the battery life is not good , and the camera can not keep up with the mainstream .","Mi 9:battery life:not good:neg, Mi 9:camera:cannot keep up with the mainstream:neg"
16_4,"why ? It 's from Huawei , is n't that obvious ?",notarget:none:none:none
16_5,Is Xiaomi 11 recommended to buy ?,notarget:none:none:none
16_6,"Just like and dislike , I 'm the kind of person who does n't like millet",notarget:none:none:none
17_0,The price is not bad,notarget:none:none:none
17_1,11U said ( all are little brothers [ doge ] refers to the back design ),notarget:none:none:none
17_2,"The 11U rear camera module stands out too much , which vivo has done better . The next generation of Ultra has changed again , and Xiaomi really has no inheritance . . . In fact , the design of 11U is very beautiful , and it is also recognizable .","vivo:rear camera module:better:pos, 11U:rear camera module:stands out too much:neg, 11U:design:recognizable:pos, 11U:design:very beautiful:pos"
17_3,The recognition is too great,notarget:none:none:none
17_4,"iQOO can be regarded as a firm high - end , Xiaomi has not hurry to learn [ doge ] ?",notarget:none:none:none
17_5,Now I really do n't understand which of the X series and iQOO is the son of vivo ?,notarget:none:none:none
18_0,"If you do n't ask for anything , you only care about the screen , and you are not afraid of diving , then Samsung . In addition to these two , other aspects are beaten by other brands [ laugh cry ] .",notarget:none:none:none
18_1,"Will the price really dive ? It 's been over a year since I saw the price of the note20u dropped by more than 1,000 yuan . Any one of them has dropped more than this .",notarget:none:none:none
18_2,Where do you see ?,notarget:none:none:none
18_3,"Of course it is the shop I bought ... I bought 6799 , now 5999 , less than a year and two months , the Apple 12 series will discount about 1700 in half a year , and it is the official website [ laugh ] . Samsung will be fine as long as it does n't buy the first launch . There is no diving . The value preservation rate is much higher than that of Apple .","Apple:value preservation rate:higher:neg, Samsung:value preservation rate:higher:pos"
18_4,"It 's too exaggerated to beat , Samsung 's camera is excellent .",Samsung:camera:excellent:pos
18_5,"To be honest , Samsung still has the down hand in taking pictures at the same price .",Samsung:taking pictures:down hand:neg
19_0,"Game consoles around 3000 - 4000 , does Huawei recommend ? [ dirty ]",notarget:none:none:none
19_1,"Huawei ca n't play games , and it 's all 4G. Is the iq7 in your hand not good ?",Huawei:play games:can't:neg
19_2,"OK , the account is Huawei , I want to change Huawei",notarget:none:none:none
19_3,"[ Yunbei ] What game , and also use a Huawei account ? so smart",notarget:none:none:none
19_4,Huawei is not suitable for playing games,Huawei is:playing games:not suitable for:neg
19_5,Game console ? Huawei ? [ Yun sad ],notarget:none:none:none
20_0,"Xiaomi 10U 5x telephoto , you know everything [ doge ]",notarget:none:none:none
20_1,"Currently in use , very comfortable , wait for a mobile phone that can beat him in all directions before changing",notarget:none:none:none
20_2,Which phone ca n't beat Xiaomi ? you are really a frog in the bottom of the well,notarget:none:none:none
20_3,"Ca n't compare to Changxiang 's powerful machine king , beat Android and Apple 's flagship machines [ dig nose ]",notarget:none:none:none
20_4,"5 times is ok , the strongest overall is still Huawei mate40pro+ and Samsung s21ultra [ doge ]",notarget:none:none:none
20_5,"Yes , but its price is quite fragrant [ hee hee ]",notarget:none:none:none
20_6,"Overall , it 's one of the top",notarget:none:none:none
20_7,"Indeed , my Mi 10u is the most comfortable for taking pictures",Mi 10u:taking pictures:most comfortable:pos
20_8,"Indeed , the focus is a bit abnormal [ eat melon ]",notarget:none:none:none
20_9,"Right , true",notarget:none:none:none
21_0,"MIX4 : When it falls , it becomes a box [ insidious ]",notarget:none:none:none
21_1,"MIX3 & fold : What , can it be worse than us ? [ Begging for mercy ]",notarget:none:none:none
21_2,"Haha , I have both mix4 and fold , it feels good to use together [ laughs without speaking ]",notarget:none:none:none
21_3,"MIX4 is okay , Fold is really not good [ doge ]",notarget:none:none:none
21_4,"Manufacturers finally found that they were almost pitted by so - called digital enthusiasts . The market does n't care about "" true full screen "" at all",notarget:none:none:none
21_5,"In order to make the ceramic thick and heavy , the frame becomes wider , plus 888 , I will not buy it . If the k30p is replaced with 870 , plus the high brush and double lift , the plastic wrapping is removed , the price will increase by about 1k , and it will kill all kinds of flagships at the same price .",notarget:none:none:none
21_6,Hot knowledge : none of the manufacturers with normal brains will release a mobile phone with a mechanical structure in 2021/2022 . No one with a normal mind would buy the 870 of 3999 .,notarget:none:none:none
21_7,"The main configuration is not well , excluding the screen",notarget:none:none:none
21_8,The camera is n't bad at all,notarget:none:none:none
22_0,"Samsung 's screen is top -level , but 2 major disadvantages : 1 outer screen is too thin 2 creases are scary","Samsung:screen:top -level:pos, Samsung:outer screen:too thin:neg, Samsung:creases:scary:neg"
22_1,"I like Samsung 's flip very much , but unfortunately I have n't bought it because of battery life , and I 'm still waiting",notarget:none:none:none
22_2,"Agree with you , I wanted to buy the latest flip some time ago for my wife",notarget:none:none:none
22_3,"Wait for the iteration of the later version , the battery life will be better , let 's talk about it",notarget:none:none:none
22_4,"If you care about creases , it seems that the creases are well controlled , you can consider .",notarget:none:none:none
22_5,"I bought it for the first time , it has been returned , the external screen is too bad",notarget:none:none:none
22_6,"Haha , after all , I will do it for the first time , I hope it will be better next time",notarget:none:none:none
22_7,"In fact , to be honest , the crease is just uncomfortable to look at when the screen is black , but it does not actually affect the use of [ allow sad ]",notarget:none:none:none
22_8,"Yes , but I really ca n't accept it",notarget:none:none:none
23_0,What aspects of the configuration of the big detective are strong ? ?,big detective:configuration:strong:other
23_1,You look at the price first,notarget:none:none:none
23_2,"Strong in battery life , the system is not updated , fake DC lighting , WiFi internet disconnection , images are not unable to adjust",notarget:none:none:none
23_3,Mainly because there is no belief like Xiaomi [ too happy ],notarget:none:none:none
23_4,"The top version of the exploration version is almost 1000 less than this comparison , and can beat it casually .",notarget:none:none:none
23_5,To beat the Honor 60Pro casually [ laughs without a word ],notarget:none:none:none
24_0,"Is Xiaomi 12 U 5000 mAh , is the fast charge faster ?",Xiaomi 12 U:charge faster:fast:other
24_1,"Do n't believe Xiaomi fast charge , it will be cut",Xiaomi:fast charge:Don't believe:neg
24_2,"If you cut it , it will come back , what are you afraid of ? Xiaomi is updating too fast",Xiaomi:updating:too fast:pos
24_3,"[ Yun Bei ] I found that the charging became slower in July , and then upgraded to 12.5 . It has been half a year now and has not recovered .",notarget:none:none:none
24_4,The 5000 mAh battery also depends on how the battery life is . Is n't Xiaomi 11 Bo a 5000 mAh battery ? Why is the battery life so bad ?,Xiaomi 11:battery life:bad:neg
24_5,It 's you who konw cloud evaluation[Haha][Haha ],notarget:none:none:none
24_6,Do not talk nonsense . I look at Xiaobai database . Xiaomi 11 's weak battery life is not good .,"Xiaomi 11:battery life:weak:neg, Xiaomi 11:battery life:not good:neg"
24_7,120 dual electricity 5000 [ Doge ],notarget:none:none:none
25_0,Which of the most impressive mobile phones ?,notarget:none:none:none
25_1,Nova3 is also very easy to use,notarget:none:none:none
25_2,"The appearance I bought a few years ago is also good -looking now , but unfortunately it was broken last year .",notarget:none:none:none
25_3,"Indeed , the style is beautiful and lightweight now",notarget:none:none:none
25_4,"Honor play , the pioneering work of the play series . The metal body is very resistant to falling . It has been used for three years and has been dropped no less than 20 times . It is not damaged , but it is slightly worn . Kirin 970 can fight again . ( But the later play actually dropped from the mid - end machine to the low - end machine , I hate Hornor ) The later play series is e - waste .",Honor play:body:very resistant to falling:pos
25_5,"Honor Play is really the first mobile phone I bought in college . Repeatedly considering the comparison , it is very easy to use . It 's a pity that the later Play series made me greatly disappointed",notarget:none:none:none
25_6,"I am still using it . Except for battery life , the charging speed is slow , and there are really no other shortcomings . But I changed my phone right away , but unfortunately it is no longer glory .",notarget:none:none:none
25_7,Nokia 5230 ?,notarget:none:none:none
25_8,5800,notarget:none:none:none
26_0,Let me see who dares to buy Xiaomi Miracle ! ! ! [ Meow Meow ] ( previous 10pro user ),notarget:none:none:none
26_1,"I have to say that in recent years , Xiaomi mobile phones have been very bad , and basically every one has some problems . I used to be a Mi fan , but since I used Mi 9 , I realized that the workmanship of Xiaomi mobile phones is really rubbish . After using the phone for a few months , all three buttons are stuck , the charging is intermittent , and the battery is also very poor . Later , I decided to switch to Apple . After using it , I realized that the Xiaomi mobile phone is really garbage .","Mi 9:battery:very poor:neg, Xiaomi:workmanship:rubbish:neg, Mi 9:charging:intermittent:neg"
26_2,"Hahaha , shocked , Xiaomi mobile phone has a strange product control problem [ like ] All three keys are stuck , you really NB",Xiaomi:product control:problem:neg
26_3,"Is n't that normal ? I repaired it once in less than a month and then it happened again . Later , I decided to buy Apple .",notarget:none:none:none
26_4,It 's boring to follow the trend [ weak ],notarget:none:none:none
26_5,"I Play stalks , I am also rice noodles myself",notarget:none:none:none
26_6,"Now if you say that Xiaomi is not good , you have to prove your identity first .",notarget:none:none:none
27_0,"I 've seen it , the Pro camera is down , waterproof , battery down , wireless down , and now the 11Pro is only 3900","Pro:camera:down:neg, Pro:battery:down:neg, Pro:wireless:down:neg"
27_1,"Taking pictures is not considered a step backwards . [ Pick your nose ] , 12p pictures are more comprehensive , and 11p pictures are more focused on the main camera ( and telephoto ) . The battery is regressing but charging is fast , the body is thin , and the wireless is flat is not a regress ( it ca n't progress ) . In addition , the screen is better , theoretically the battery life will be better ( with ltpo ) , the dual Yang is more powerful and looks better ( subjectively ) , and the 8g1 has better performance than the 888 ( there is no measured energy consumption , let 's not mention it ) . Buy a new one instead of an old one .","12p:pictures:more comprehensive:pos, 12p:battery:regressing:neg, 12p:charging:fast:pos, 12p:screen:better:pos"
27_2,"400 battery is not worth changing to ltpo , not to mention that the new 8 processor is a large fire dragon , strong heat dissipation means strong power consumption",notarget:none:none:none
27_3,It can be seen on the Moto that the energy consumption of the Snapdragon 8 is better than 888 . Specifically depends on consumer feedback .,notarget:none:none:none
27_4,"Xiaomi mobile phones have gradually moved towards commercialization . Now the mobile phone industry has basically reached a bottleneck , and it does n't seem to be meaningful for fast charging to popularize 120W. I bought one after the release of CIVI , and I felt that Xiaomi mobile phone focused on the experience .",Xiaomi:experience:focused on:pos
27_5,It 's better to keep the system stable .,notarget:none:none:none
